bin,relative_start_percent,relative_end_percent,brca1_benign_percent,brca2_benign_percent,diff_benign_percent,brca1_vus_percent,brca2_vus_percent,diff_vus_percent,brca1_pathogenic_percent,brca2_pathogenic_percent,diff_pathogenic_percent,brca1_high_spliceai_percent,brca2_high_spliceai_percent,diff_high_spliceai_percent,brca1_missense_percent,brca2_missense_percent,diff_missense_percent,brca1_nonsense_percent,brca2_nonsense_percent,diff_nonsense_percent,brca1_synonymous_percent,brca2_synonymous_percent,diff_synonymous_percent
102,84.17,85.00,97.16,3.49,93.67,0.71,90.31,-89.60,2.13,6.20,-4.07,0.00,2.71,-2.71,76.60,69.38,7.22,2.13,6.20,-4.07,21.28,24.42,-3.14
103,85.00,85.83,94.93,2.75,92.18,0.72,91.76,-91.04,4.35,5.49,-1.14,0.72,7.45,-6.73,65.22,74.90,-9.68,4.35,5.49,-1.14,30.43,19.61,10.82
104,85.83,86.67,94.33,3.88,90.45,1.42,88.76,-87.34,4.26,7.36,-3.10,2.13,0.39,1.74,73.05,74.81,-1.76,4.26,7.36,-3.10,22.70,17.83,4.87
105,86.67,87.50,93.48,3.53,89.95,2.90,90.20,-87.30,3.62,6.27,-2.65,3.62,3.92,-0.30,74.64,72.94,1.70,2.90,6.27,-3.37,22.46,20.78,1.68
106,87.50,88.33,94.33,3.10,91.23,0.00,86.82,-86.82,5.67,10.08,-4.41,2.13,31.40,-29.27,72.34,66.67,5.67,4.96,9.69,-4.73,22.70,23.64,-0.94
107,88.33,89.17,74.47,0.78,73.69,21.99,92.16,-70.17,3.55,7.06,-3.51,2.84,29.02,-26.18,74.47,72.55,1.92,2.84,6.67,-3.83,22.70,20.78,1.92
108,89.17,90.00,60.87,5.43,55.44,31.88,90.31,-58.43,7.25,4.26,2.99,10.87,0.39,10.48,75.36,74.42,0.94,5.07,4.26,0.81,19.57,21.32,-1.75
109,90.00,90.83,50.35,4.31,46.04,29.79,88.63,-58.84,19.86,7.06,12.80,28.37,0.78,27.59,73.76,70.20,3.56,2.84,6.27,-3.43,23.40,23.53,-0.13
110,90.83,91.67,46.38,4.26,42.12,46.38,90.31,-43.93,7.25,5.43,1.82,2.90,0.00,2.90,71.01,74.81,-3.80,5.07,5.04,0.03,23.91,20.16,3.75
111,91.67,92.50,60.99,3.14,57.85,26.95,93.33,-66.38,12.06,3.53,8.53,3.55,0.39,3.16,71.63,76.08,-4.45,7.80,3.53,4.27,20.57,20.39,0.18
112,92.50,93.33,69.50,19.38,50.12,23.40,77.52,-54.12,7.09,3.10,3.99,1.42,2.71,-1.29,77.30,78.68,-1.38,4.26,3.10,1.16,18.44,18.22,0.22
113,93.33,94.17,59.42,92.94,-33.52,34.06,3.53,30.53,6.52,3.53,2.99,0.00,1.57,-1.57,71.01,70.59,0.42,5.80,3.53,2.27,23.19,25.88,-2.69
114,94.17,95.00,59.57,56.59,2.98,33.33,36.82,-3.49,7.09,6.59,0.50,2.13,17.44,-15.31,74.47,71.71,2.76,4.96,6.59,-1.63,20.57,21.71,-1.14
115,95.00,95.83,69.57,92.94,-23.37,24.64,0.00,24.64,5.80,7.06,-1.26,2.90,0.00,2.90,77.54,75.29,2.25,3.62,7.06,-3.44,18.84,17.65,1.19
116,95.83,96.67,75.89,94.96,-19.07,19.15,2.33,16.82,4.96,2.71,2.25,0.00,1.94,-1.94,66.67,71.71,-5.04,4.96,2.71,2.25,28.37,25.58,2.79
117,96.67,97.50,65.96,95.29,-29.33,30.50,3.53,26.97,3.55,1.18,2.37,7.09,0.00,7.09,73.76,74.90,-1.14,2.84,5.10,-2.26,23.40,20.00,3.40
118,97.50,98.33,76.09,83.33,-7.24,19.57,16.67,2.90,4.35,0.00,4.35,4.35,6.98,-2.63,76.09,72.48,3.61,2.17,5.43,-3.26,21.74,22.09,-0.35
119,98.33,99.17,56.03,93.33,-37.30,34.04,6.67,27.37,9.93,0.00,9.93,0.00,0.78,-0.78,72.34,69.41,2.93,7.80,3.92,3.88,19.86,26.67,-6.81
120,99.17,100.00,75.36,92.94,-17.58,22.46,7.06,15.40,2.17,0.00,2.17,0.00,0.00,0.00,74.64,76.08,-1.44,3.62,6.27,-2.65,21.74,17.65,4.09
